Date,User,Message
2022-06-22 16:43:30,"말썽쟁이 네오","말썽쟁이 네오님이 들어왔습니다.
운영정책을 위반한 메시지로 신고 접수 시 카카오톡 이용에 제한이 있을 수 있습니다."
2022-06-22 16:43:30,"방장봇","공지확인 부탁드립니다

[더 다양한 정보와 무료 강의 일정 확인 ]
cafe.naver.com/factoryunicorn"
2022-06-22 16:43:36,"말썽쟁이 네오","안녕하세요~"
2022-06-22 16:56:45,"팩토리유니콘","어서오세여 ㅎㅎ"
2022-06-22 17:30:27,"튜브낀 튜브","혹시 사진과 같이
뒷면 은박 앞면 폴리로 사용하는 보냉 보온 원단
동대문종합시장 몇층에 가면 많이 있을까요?
신설동에 가야할까요?
"
2022-06-22 17:30:27,"튜브낀 튜브","사진"
2022-06-22 17:39:44,"SIRO","종합b동 외부 뒷길요"
2022-06-22 17:46:10,"SIRO","먹자길 건너편 종합 D,B동 마주보고 우측 뒷길"
2022-06-22 17:46:11,"SIRO","ㅎㅎ"
2022-06-22 17:52:28,"튜브낀 튜브","아 감사합니다!"
2022-06-22 18:22:15,"튜브낀 튜브","사진"
2022-06-22 18:22:30,"튜브낀 튜브","이런 은박 단열재, 동대문이나 신설동쪽에 취급하는곳 아시는분 있으신가요?"
2022-06-22 20:17:47,"문준희","문준희님이 나갔습니다."
2022-06-22 20:46:39,"강다은","강다은님이 나갔습니다."
2022-06-22 21:16:39,"종강","원단이랑 부자재 보러 동대문 가는데 혹시 도움될만한 팁이나 다이마루원단, 데님원단 괜찮은곳 아시는분 있나요??"
2022-06-22 21:39:09,"최성준","보통 여름옷은 언제까지 파나요? 8월?"
2022-06-22 21:39:14,"최성준","반팔티같은것들"
2022-06-22 23:54:23,"흠냐링","스마트스토어 가입했는데 무슨 신입스토어 기준으로 파워링크 지원해줘서 저렴하게 해준다고 전화왔는데"
2022-06-22 23:54:32,"흠냐링","보이스 피싱 아니죠? 받아보신분있나요?"
2022-06-22 23:55:54,"패턴","왠지 사기 같네요 "
2022-06-22 23:56:12,"로이아","로이아님이 들어왔습니다."
2022-06-22 23:56:12,"방장봇","공지확인 부탁드립니다

[더 다양한 정보와 무료 강의 일정 확인 ]
cafe.naver.com/factoryunicorn"
2022-06-22 23:56:21,"로이아","안녕하세요☺︎"
2022-06-23 00:10:00,"ㄱ동대문역사문화공원 패턴&샘플","광고입니다. 굳이 할필요 없어요"
2022-06-23 01:44:45,"울고있는 어피치","슬리퍼업체개 너무찾기힘드네요 ㅠ"
2022-06-23 07:30:58,"튜브낀 튜브","수영복 제작 업체 계시나요"
2022-06-23 07:37:35,"속옷브랜드 런칭이 꿈","속옷 제작 업체는 계실까요"
2022-06-23 07:53:12,"Eeej","업체문의하실 거 있으세요?"
2022-06-23 08:50:18,"무지","백화점 대리점 아울렛 등을 모라고 하지요 
유통채널?은 아니고 유통 형태 "
2022-06-23 08:50:47,"무지","모가 적당한 말일지 "
2022-06-23 08:57:46,"질풍가도","종합시장에서 가방용 접착심지 파는곳 아시는분 계실까요?"
2022-06-23 08:59:56,"좌절하는 제이지","유통채널 맞는말이에요"
2022-06-23 09:01:16,"무지","감사합니당 ^^!!"
2022-06-23 11:03:23,"화난 라이언","발리 모기업이 중국회사였다니.."
2022-06-23 11:06:44,"화난 라이언","야금야금 계속 삼키고 있나.."
2022-06-23 11:16:36,"파이팅하는 무지","판매처??"
2022-06-23 11:18:31,"두한","데님 잘아시거나 프로모션다니시는분계신가요?"
2022-06-23 11:48:07,"jjung","잘까지는 아니지만 데님에 대해 궁금하신게 있으신가요??"
2022-06-23 16:01:51,"생각하는 라이언","소매 길이가 24로 할라면 소매통을 얼마나 해야될까요?"
2022-06-23 16:05:39,"두한","바지디자인한게있는데"
2022-06-23 16:05:53,"두한","데님원단고르는게 미숙해서요 ㅠ"
2022-06-23 16:23:25,"혜선/여성빅사이즈","소매기장에비교하심안되구  소매둘레를 암홀하고 비교해야하는데욤"
